
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_PAQUETA BAHIA LTDA,    3.2232,    0.851,    3.789, 0.000,    1.555,    4.891
Cliente_PAQUETA CALCADOS LTDA,    4.5501,    0.694,    6.554, 0.000,    3.189,    5.911
"Cliente_PAQUETA CALCADOS LTDA,",    5.3763,    0.868,    6.193, 0.000,    3.674,    7.078
Cliente_PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO SA,    4.4109,    0.709,    6.223, 0.000,    3.021,    5.800
Cliente_PARANATEX INDUSTRIA TEXTIL LTDA,    2.6983,    1.102,    2.448, 0.014,    0.537,    4.859
Cliente_PARNAPLAST INDUSTRIA DE PLASTICOS LTDA,    1.7356,    1.083,    1.602, 0.109,   -0.388,    3.859
Cliente_PASTIFICIO SELMI SA,    4.0352,    1.052,    3.836, 0.000,    1.973,    6.097
"Cliente_PATI NICKI CONFECCOES LTDA,",    2.5192,    0.773,    3.258, 0.001,    1.003,    4.035
Cliente_PBG S/A,    4.4817,    0.739,    6.069, 0.000,    3.034,    5.929
Cliente_PE DE FERRO CALCADOS E ARTEFATOS DE COURO LTDA - ME,    3.6875,    0.817,    4.512, 0.000,    2.085,    5.290
Cliente_PE DE FERRO NORDESTE LTDA,    3.3912,    0.997,    3.403, 0.001,    1.438,    5.345
Cliente_PECCIN SA,    2.9549,    0.772,    3.826, 0.000,    1.441,    4.469
Cliente_PEMAGRAN PEDRAS MARMORES E GRANITOS LTDA,    4.2294,    1.205,    3.511, 0.000,    1.868,    6.591
Cliente_PENASUL ALIMENTOS LTDA,    5.1803,    0.798,    6.489, 0.000,    3.615,    6.745
Cliente_PEPSICO AMACOCO BEBIDAS DO BRASIL LTDA,    2.8677,    1.198,    2.394, 0.017,    0.519,    5.216
Cliente_PERDIGAO AGROINDUSTRIAL S/A,    5.1749,    0.706,    7.326, 0.000,    3.790,    6.560
"Cliente_PERTECH DO BRASIL LTDA,",    4.1039,    0.883,    4.647, 0.000,    2.373,    5.835
Cliente_PERTO S A PERIFERICOS PARA AUTOMACAO,    5.4473,    0.894,    6.091, 0.000,    3.694,    7.200
Cliente_PETTENATI SA INDUSTRIA TEXTIL,    4.2861,    0.893,    4.798, 0.000,    2.535,    6.037
Cliente_PEUGEOT-CITROEN DO BRASIL AUTOMOVEIS LTDA,    7.0231,    0.772,    9.100, 0.000,    5.510,    8.536
Cliente_PEVAL S A,    3.6549,    0.867,    4.216, 0.000,    1.955,    5.355
"Cliente_PIACENTINI & CIA, LTDA,",    2.6649,    0.882,    3.023, 0.003,    0.937,    4.393
"Cliente_PICCIN MAQUINAS AGRICOLAS LTDA,",    2.9427,    0.817,    3.601, 0.000,    1.341,    4.545
Cliente_PILKINGTON BRASIL LTDA,    5.4797,    0.719,    7.619, 0.000,    4.070,    6.890
Cliente_PINC IS TIGRE LTDA,    4.5549,    1.052,    4.330, 0.000,    2.493,    6.617
Cliente_PINCEIS ATLAS S/A,    4.2121,    0.796,    5.294, 0.000,    2.652,    5.772
Cliente_PINEPLY COMPENSADOS LTDA,    1.7240,    0.809,    2.131, 0.033,    0.138,    3.310
"Cliente_PINHALENSE S/A,-MAQUINAS AGRICOLAS",    3.5504,    0.707,    5.021, 0.000,    2.164,    4.937
"Cliente_PIRELLI PNEUS LTDA,",    5.5384,    0.690,    8.026, 0.000,    4.186,    6.891
"Cliente_PISANI PLASTICOS S,A",    5.1634,    1.062,    4.860, 0.000,    3.081,    7.246
Cliente_PISOFORTE REVESTIMENTOS CERAMICOS LTDA,    3.9160,    1.066,    3.675, 0.000,    1.827,    6.005
Cliente_PISTACHE CONFECCOES LTDA,    3.4971,    0.879,    3.979, 0.000,    1.774,    5.220
Cliente_PLASCAR INDUSTRIA DE COMPONENTES PLASTICOS LTDA,    4.6732,    0.764,    6.115, 0.000,    3.175,    6.171
Cliente_PLASSON DO BRASIL LTDA,    4.0189,    0.796,    5.051, 0.000,    2.459,    5.579
Cliente_PLASTICOS IBRACIL LTDA,    3.4258,    1.050,    3.263, 0.001,    1.367,    5.484
"Cliente_PLATODIESEL IND, E COM, DE PECAS AUTOMOTIVAS LTDA,",    3.0970,    1.050,    2.949, 0.003,    1.038,    5.156
Cliente_PLP - PRODUTOS PARA LINHAS PREFORMADOS LTDA,    1.7316,    0.882,    1.962, 0.050,    0.002,    3.461
Cliente_PLUMA AGRO AVICOLA LTDA,    3.4665,    0.859,    4.036, 0.000,    1.783,    5.150
Cliente_PMG TRADING S/A,    5.1957,    0.896,    5.796, 0.000,    3.438,    6.953
Cliente_POLIMETRI INDUSTRIA METALURGICA LTDA,    3.4026,    0.731,    4.655, 0.000,    1.970,    4.836
Cliente_POLIMOLD INDUSTRIAL S/A,    3.7526,    0.723,    5.191, 0.000,    2.335,    5.170
Cliente_POLIRIM DO BRASIL INDUSTRIA DE PECAS LTDA,    4.9499,    1.057,    4.682, 0.000,    2.877,    7.022
"Cliente_POLITORNO MOVEIS LTDA,",    4.0301,    1.061,    3.797, 0.000,    1.950,    6.111
"Cliente_POLYSTAR - INDUSTRIA E COM, DE PROD, SINTETICOS LTDA",    2.8202,    1.068,    2.640, 0.008,    0.726,    4.914
Cliente_POMAR S/A INDUSTRIAL E COMERCIAL,    4.0793,    1.050,    3.885, 0.000,    2.021,    6.138
Cliente_POMI FRUTAS S/A,    3.2926,    0.739,    4.455, 0.000,    1.844,    4.741
Cliente_POMIFRAI FRUTICULTURA SA,    3.8168,    0.768,    4.971, 0.000,    2.312,    5.322
"Cliente_PPALBER INDUSTRIAL, COMERCIAL E IMPORTADORA LTDA,",    1.3100,    1.050,    1.248, 0.212,   -0.748,    3.368
Cliente_PPE FIOS ESMALTADOS S/A,    4.5463,    0.699,    6.501, 0.000,    3.175,    5.917
Cliente_PRALANA INDUSTRIA E COMERCIO LTDA,    3.2295,    1.051,    3.074, 0.002,    1.170,    5.289
Cliente_PRAT-K UTILIDADES LIMITADA,    3.8421,    0.830,    4.631, 0.000,    2.216,    5.468
"Cliente_PRATICA KLIMAQUIP INDUSTRIA E COMERCIO S,A,",    3.3305,    1.065,    3.127, 0.002,    1.242,    5.419
"Cliente_PRATICA PRODUTOS S,A,",    2.9946,    0.901,    3.324, 0.001,    1.228,    4.761
Cliente_PREDILECTA ALIMENTOS LTDA,    3.8510,    0.739,    5.212, 0.000,    2.403,    5.299
Cliente_PRENSAS SCHULER S A,    4.8814,    0.678,    7.198, 0.000,    3.552,    6.211
Cliente_PRESSURE COMPRESSORES LTDA,    2.6004,    1.081,    2.406, 0.016,    0.482,    4.719
Cliente_PRIMO TEDESCO SA,    2.2235,    0.737,    3.015, 0.003,    0.778,    3.669
Cliente_PROCOPIO INDUSTRIA E COMERCIO LTDA,    3.7647,    1.085,    3.470, 0.001,    1.638,    5.892
Cliente_PROCTER & GAMBLE HIGIENE E COSMETICOS LTDA,    3.8537,    1.051,    3.666, 0.000,    1.793,    5.915
Cliente_PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA,    5.4713,    1.051,    5.205, 0.000,    3.410,    7.532
Cliente_PRODUTOS ALIMENTICIOS ARAPONGAS S/A PRODASA,    2.8098,    0.785,    3.579, 0.000,    1.271,    4.349
Cliente_PRODUTOS ERLAN S/A,    2.5746,    1.070,    2.406, 0.016,    0.476,    4.673
Cliente_PRODUTOS ROCHE QUIMICOS E FAMACEUTICOS S/A,    5.1020,    0.763,    6.683, 0.000,    3.605,    6.598
Cliente_PROJETO LM IND E COM LTDA,    1.9862,    0.898,    2.211, 0.027,    0.225,    3.747
Cliente_PROMAFLEX INDUSTRIAL LTDA,    2.5089,    1.050,    2.389, 0.017,    0.450,    4.567
"Cliente_PROMETEON TYRE GROUP INDUSTRIA BRASIL LTDA,",    7.4718,    1.051,    7.111, 0.000,    5.412,    9.532
Cliente_PROMINAS BRASIL EQUIPAMENTOS LTDA,    2.7837,    0.882,    3.157, 0.002,    1.055,    4.512
"Cliente_PROQUALIT TELECOM LTDA,",    1.3550,    0.882,    1.537, 0.124,   -0.374,    3.084
Cliente_PROQUIGEL QUIMICA S/A,    2.6796,    1.069,    2.506, 0.012,    0.583,    4.776
Cliente_PROTON GRANITO LTDA,    5.1181,    1.354,    3.780, 0.000,    2.464,    7.773
Cliente_PROTURBO USINAGEM DE PRECISAO LTDA,    3.4010,    1.051,    3.237, 0.001,    1.341,    5.461
"Cliente_PRYSMIAN DRAKA BRASIL S,A",    4.0635,    0.763,    5.323, 0.000,    2.567,    5.560
Cliente_PRYSMIAN SURFLEX UMBILICAIS TUBOS FLEXIV DO BRASIL LTDA,    6.5038,    0.965,    6.743, 0.000,    4.613,    8.395
Cliente_PRYSMIAN TELECOMUNICACOES CABOS SISTEMAS DO BRASIL S/A,    4.4598,    0.739,    6.033, 0.000,    3.011,    5.909
Cliente_PST ELETRONICA LTDA,    5.4197,    1.032,    5.251, 0.000,    3.396,    7.443
Cliente_QUALIMAR COMERCIO IMPORTACAO E EXPORTACAO,    1.6211,    1.040,    1.559, 0.119,   -0.418,    3.660
Cliente_QUIMICA AMPARO LTDA,    3.7969,    0.883,    4.299, 0.000,    2.066,    5.528
Cliente_QUINELATO INDUSTRIA E COMERCIO LTDA,    1.9426,    0.785,    2.476, 0.013,    0.404,    3.481
Cliente_R C M INDUSTRIA COMERCIO EXP SUBPRODUTO ANIMAL LTDA,    0.7238,    1.356,    0.534, 0.594,   -1.935,    3.383
Cliente_RADA & PAULA LTDA,    2.8542,    0.881,    3.239, 0.001,    1.127,    4.582
Cliente_RANDON SA IMPLEMENTOS E PARTICIPACOES,    6.1955,    0.702,    8.826, 0.000,    4.819,    7.572
Cliente_RASIP ALIMENTOS LTDA,    4.4507,    0.837,    5.316, 0.000,    2.810,    6.092
Cliente_RASSINI NHK AUTOPECAS LTDA,    4.4638,    0.819,    5.450, 0.000,    2.858,    6.069
Cliente_RAUMAK MAQUINAS LTDA,    2.3367,    0.900,    2.598, 0.009,    0.573,    4.100
Cliente_RAYTON INDUSTRIAL S/A,    3.1234,    1.050,    2.975, 0.003,    1.065,    5.182
Cliente_RCD COMERCIO E INDUSTRIA LTDA,    4.5244,    1.051,    4.306, 0.000,    2.464,    6.584
Cliente_REALCAFE SOLUVEL DO BRASIL S/A,    4.6365,    0.948,    4.891, 0.000,    2.778,    6.495
Cliente_REBIERE GELATINAS DE PRESIDENTE EPITACIO LTDA,    3.2451,    0.882,    3.678, 0.000,    1.515,    4.975
Cliente_RECOURO INDUSTRIA DE COURO RECONSTITUIDO LTDA,    3.8536,    0.824,    4.676, 0.000,    2.238,    5.469
Cliente_REICHERT SA CALCADOS,    5.5873,    1.060,    5.271, 0.000,    3.509,    7.665
Cliente_RENAR MOVEIS LTDA,    3.2173,    1.059,    3.038, 0.002,    1.141,    5.293
"Cliente_RENAULT DO BRASIL S,A",    5.6266,    0.735,    7.655, 0.000,    4.186,    7.067
Cliente_RENNER SAYERLACK /S/A,    3.7131,    0.763,    4.864, 0.000,    2.217,    5.210
"Cliente_RENNER TEXTIL LTDA,",    2.5369,    1.056,    2.403, 0.016,    0.467,    4.607
"Cliente_RENUKA VALE DO IVAI S,A, - EM RECUPERACAO JUDICIAL",    2.7619,    1.083,    2.550, 0.011,    0.638,    4.885
Cliente_REPINHO REFLORESTADORA MADEIRAS E COMPENSADOS LTDA,    4.9128,    0.862,    5.700, 0.000,    3.223,    6.602
"Cliente_REQUIPH IND, E COM, DE EQUIPS, HIDRAULICOS LTDA",    4.7275,    1.050,    4.502, 0.000,    2.669,    6.786
Cliente_RESITOL INDUSTRIA QUIMICA LTDA,    2.4891,    1.058,    2.354, 0.019,    0.416,    4.562
Cliente_REVAL INDUSTRIA DE ARTEFATOS DE ARAME EIRELI,    3.0409,    1.079,    2.819, 0.005,    0.926,    5.156
"Cliente_REVEST PISOS E REVESTIMENTOS LTDA,",    2.8808,    1.242,    2.320, 0.020,    0.447,    5.315
"Cliente_RHODIA BRASIL S,A,",    4.8669,    1.051,    4.630, 0.000,    2.806,    6.928
Cliente_RHODIA POLIAMIDA E ESPECIALIDADES SA,    5.2634,    0.882,    5.965, 0.000,    3.534,    6.993
"Cliente_RIMO S,A -INDUSTRIA E COMERCIO",    4.7931,    1.019,    4.705, 0.000,    2.796,    6.790
Cliente_RIPASA S/A CELULOSE E PAPEL,    5.3331,    0.739,    7.221, 0.000,    3.885,    6.781
Cliente_ROBERT BOSCH DIRECAO AUTOMOTIVA LTDA,    4.9730,    1.052,    4.728, 0.000,    2.911,    7.035
Cliente_ROBERT BOSCH LIMITADA,    5.8640,    0.706,    8.304, 0.000,    4.480,    7.248
"Cliente_ROCA BRASIL LTDA,",    4.5236,    0.882,    5.128, 0.000,    2.794,    6.253
Cliente_ROHDEN PORTAS E ARTEFATOS DE MADEIRA LTDA,    3.8727,    0.833,    4.649, 0.000,    2.240,    5.506
Cliente_ROHDEN PORTAS E PAINEIS LTDA,    2.8991,    0.890,    3.259, 0.001,    1.155,    4.643
Cliente_ROLAMENTOS FAG LTDA,    4.6422,    1.051,    4.416, 0.000,    2.581,    6.703
Cliente_ROMA JENSEN COMERCIO E INDUSTRIA LTDA,    2.5588,    0.882,    2.902, 0.004,    0.830,    4.288
"Cliente_ROMAGNOLE PRODUTOS ELETRICOS S,A,",    3.9081,    0.746,    5.237, 0.000,    2.445,    5.371
"Cliente_ROMI S,A,",    5.3031,    0.704,    7.531, 0.000,    3.923,    6.683
Cliente_ROSSET & CIA LTDA,    4.9490,    0.819,    6.045, 0.000,    3.344,    6.554
Cliente_RUETTE SPICES LTDA,    3.3436,    1.062,    3.149, 0.002,    1.262,    5.425
Cliente_RYGY COELI CONFECCOES LTDA,    2.6065,    0.848,    3.074, 0.002,    0.944,    4.269
Cliente_SAB COMPANY LOGISTICA INTEGRADA S/A,    5.1859,    1.208,    4.294, 0.000,    2.818,    7.553
Cliente_SAB TRADING COMERCIAL EXPORTADORA S/A,    5.6411,    1.098,    5.139, 0.000,    3.489,    7.793
Cliente_SABO INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,    3.5897,    0.695,    5.163, 0.000,    2.227,    4.953
Cliente_SAE TOWERS BRASIL TORRES DE TRANSMISSAO LTDA,    3.0067,    0.749,    4.013, 0.000,    1.538,    4.475
"Cliente_SAINT-GOBAIN VIDROS S,A,",    5.2734,    0.749,    7.038, 0.000,    3.805,    6.742
Cliente_SAMPEL INDUSTRIA LTDA,    3.5639,    0.763,    4.674, 0.000,    2.069,    5.059
Cliente_SAMPLA DO BRASIL INDUSTRIA E COMERCIO DE CORREIAS LTDA,    1.8965,    0.881,    2.153, 0.031,    0.169,    3.624
Cliente_SAMSUNG ELETRONICA DA AMAZONIA LTDA,    6.5720,    0.904,    7.274, 0.000,    4.801,    8.343
Cliente_SAMSUNG SDI BRASIL LTDA,    6.5689,    1.021,    6.432, 0.000,    4.567,    8.571
Cliente_SAN MARCOS REVESTIMENTOS CERAMICOS LTDA,    2.3306,    1.061,    2.198, 0.028,    0.252,    4.410
Cliente_SAN MARINO ONIBUS LTDA,    4.6763,    0.702,    6.658, 0.000,    3.299,    6.053
Cliente_SANGATI BERGA SA,    5.6037,    0.997,    5.623, 0.000,    3.650,    7.557
Cliente_SANOPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA - ME,   -0.0226,    1.079,   -0.021, 0.983,   -2.138,    2.093
Cliente_SANREMO S/A,    5.5070,    0.893,    6.165, 0.000,    3.756,    7.258
Cliente_SANRISIL S/A INDUSTRIA E COMERCIO,    4.5263,    0.783,    5.782, 0.000,    2.992,    6.061
Cliente_SANTA LAVINIA COMERCIO E EXPORTACAO LTDA,    3.0407,    1.010,    3.010, 0.003,    1.060,    5.021
Cliente_SANTHER FABRICA DE PAPEL SANTA THEREZINHA S/A,    3.9177,    0.739,    5.300, 0.000,    2.469,    5.367
"Cliente_SANTISTA PARTICIPACOES S,A,",    5.1915,    0.882,    5.884, 0.000,    3.462,    6.921
"Cliente_SANTISTA WORK SOLUTION S,A,",    4.9465,    0.739,    6.692, 0.000,    3.497,    6.396
Cliente_SANTO AMARO S/A IND E COM,    2.0557,    1.050,    1.958, 0.050,   -0.003,    4.114
Cliente_SANTOS ANDIRA INDUSTRIA DE MOVEIS LTDA,    2.9657,    0.811,    3.658, 0.000,    1.376,    4.555
Cliente_SANTRON INDUSTRIAS ELETROELETRONICAS S/A,    5.3756,    0.917,    5.859, 0.000,    3.577,    7.174
"Cliente_SAO DOMINGOS S,A, INDUSTRIA GRAFICA",    4.0812,    0.881,    4.631, 0.000,    2.354,    5.809
Cliente_SARA LEE CAFES DO BRASIL LTDA,    4.0120,    0.883,    4.543, 0.000,    2.281,    5.743
Cliente_SAUR EQUIPAMENTOS S/A,    4.9585,    0.891,    5.567, 0.000,    3.212,    6.705
Cliente_SCA INDUSTRIA DE MOVEIS LTDA,    3.9853,    1.058,    3.766, 0.000,    1.911,    6.060
Cliente_SCANIA LATIN AMERICA LTDA,    6.6530,    0.683,    9.745, 0.000,    5.315,    7.991
"Cliente_SCHAEFFLER BRASIL LTDA,",    4.8965,    0.784,    6.242, 0.000,    3.359,    6.434
Cliente_SCHMIDT IRMAOS CALCADOS LTDA,    4.6550,    1.056,    4.408, 0.000,    2.585,    6.725
Cliente_SCHMITZ AGROINDUSTRIAL LTDA,    2.1409,    1.066,    2.009, 0.045,    0.052,    4.230
Cliente_SCHNEIDER ELECTRIC BRASIL LTDA,    5.3182,    0.820,    6.489, 0.000,    3.711,    6.925
Cliente_SCHULZ S/A,    4.3934,    0.701,    6.271, 0.000,    3.020,    5.767
Cliente_SCHWING EQUIPAMENTOS INDUSTRIAIS LTDA,    3.5148,    0.830,    4.232, 0.000,    1.887,    5.143
Cliente_SCM GROUP TECMATIC MAQUINAS E EQUIPAMENTOS LTDA,    3.6825,    1.056,    3.486, 0.000,    1.611,    5.754
Cliente_SEARA ALIMENTOS LTDA,    4.5802,    0.710,    6.449, 0.000,    3.188,    5.972
Cliente_SEARA COMERCIO DE ALIMENTOS LTDA,    3.0083,    0.707,    4.256, 0.000,    1.623,    4.394
Cliente_SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,    2.3775,    0.814,    2.921, 0.003,    0.782,    3.973
Cliente_SEIFUN COMERCIO E INDUSTRIA LTDA,    3.1939,    0.784,    4.074, 0.000,    1.657,    4.731
Cliente_SELCO VEDACOES DINAMICAS LTDA,    2.8028,    0.748,    3.749, 0.000,    1.337,    4.268
Cliente_SELECTAS S A INDUSTRIA E COMERCIO DE MADEIRAS,    3.4155,    1.087,    3.141, 0.002,    1.284,    5.547
"Cliente_SEMCO EQUIPAMENTOS DE REFRIGERACAO LTDA,",    3.3319,    0.824,    4.042, 0.000,    1.716,    4.948
Cliente_SEMCO EQUIPAMENTOS INDUSTRIAIS LTDA,    3.2360,    1.050,    3.081, 0.002,    1.177,    5.295
Cliente_SENDAS COMERCIO EXTERIOR S/A,    6.0493,    1.107,    5.466, 0.000,    3.880,    8.219
Cliente_SENSE ELETRONICA LTDA,    3.1429,    1.068,    2.943, 0.003,    1.049,    5.236
Cliente_SERRARIAS CAMPOS DE PALMAS SA,    2.8101,    0.810,    3.471, 0.001,    1.223,    4.397
Cliente_SEW-EURODRIVE BRASIL LTDA,    4.8727,    0.732,    6.657, 0.000,    3.438,    6.308
Cliente_SGM COMERCIO INDUSTRIA E EXPORTACAO LTDA,    1.6116,    1.088,    1.481, 0.139,   -0.522,    3.745
Cliente_SIACDOBRASIL LTDA,    3.6446,    1.072,    3.401, 0.001,    1.544,    5.745
Cliente_SIDERURGICA CATARINENSE LTDA,    1.6532,    1.054,    1.568, 0.117,   -0.413,    3.720
Cliente_SIDERURGICA SAO JOAQUIM S/A,    2.4392,    1.052,    2.320, 0.020,    0.378,    4.501
Cliente_SIEMENS ELETROELETRONICA S/A,    5.5260,    1.044,    5.294, 0.000,    3.480,    7.572
"Cliente_SIEMENS ENERGY BRASIL LTDA,",    6.5381,    0.707,    9.245, 0.000,    5.152,    7.925
Cliente_SIERRA MOVEIS LTDA,    3.3011,    0.749,    4.408, 0.000,    1.833,    4.769
Cliente_SIFCO S/A,    4.7947,    0.785,    6.108, 0.000,    3.256,    6.333
Cliente_SILIMED - INDUSTRIA DE IMPLANTES LTDA,    4.6147,    0.935,    4.937, 0.000,    2.782,    6.447
Cliente_SILPA PECAS E EQUIPAMENTOS LTDA,    4.3318,    1.061,    4.082, 0.000,    2.251,    6.412
"Cliente_SIMETALL IND, COM, FERRAMENTAS LTDA,",    2.6596,    0.795,    3.345, 0.001,    1.101,    4.218
Cliente_SIMISA SIMIONI METALURGICA LTDA EM RECUPERACAO JUDICIAL,    3.8926,    1.052,    3.701, 0.000,    1.830,    5.955
Cliente_SINCOL SA INDUSTRIA E COMERCIO,    2.5148,    0.770,    3.265, 0.001,    1.005,    4.025
Cliente_SITMED EQUIPAMENTOS MEDICOS LTDA,    3.7304,    1.085,    3.440, 0.001,    1.604,    5.857
"Cliente_SLC AGRICOLA S,A,",    4.9025,    1.066,    4.598, 0.000,    2.812,    6.992
"Cliente_SM PESCADOS INDUSTRIA , COMERCIO E EXPORTACAO LTDA - ME",    4.2907,    0.910,    4.716, 0.000,    2.507,    6.074
"Cliente_SNR ROLAMENTOS DO BRASIL LTDA,",    2.8306,    0.924,    3.065, 0.002,    1.020,    4.641
Cliente_SOBRAER - SONACA BRASILEIRA AERONAUTICA LTDA,    4.4728,    0.763,    5.862, 0.000,    2.977,    5.969
Cliente_SOBRAL INVICTA SOCIEDADE ANONIMA,    2.8563,    1.050,    2.720, 0.007,    0.798,    4.915
Cliente_SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO L,    6.6322,    0.782,    8.485, 0.000,    5.100,    8.165
"Cliente_SOCIEDADE PAULISTA TUBOS FLEXIVEIS LTDA,",    2.2817,    0.818,    2.791, 0.005,    0.679,    3.884
"Cliente_SOFAPE FABRICANTE DE FILTROS S,A,",    3.8316,    0.699,    5.481, 0.000,    2.461,    5.202
Cliente_SOGEFI FILTRATION DO BRASIL LTDA,    5.2362,    0.819,    6.395, 0.000,    3.631,    6.841
Cliente_SOLABIA BIOTECNOLOGICA LTDA,    2.4321,    0.926,    2.627, 0.009,    0.617,    4.247
Cliente_SOLAR COMERCIO E AGROINDUSTRIA LTDA,    4.2126,    0.839,    5.022, 0.000,    2.568,    5.857
"Cliente_SOMA SOLUCOES MAGNETICAS INDUSTRIA E COMERCIO LTDA,",    3.9792,    0.718,    5.542, 0.000,    2.572,    5.387
Cliente_SOMELOS TECIDOS BRASIL LTDA,    2.8296,    1.061,    2.668, 0.008,    0.751,    4.909
Cliente_SONOCO FOR PLAS SA,    3.2507,    1.052,    3.090, 0.002,    1.189,    5.313
Cliente_SOPRANO INDUSTRIA DE EQUIPAMENTOS OLEODINAMICOS LTDA,    4.6200,    1.266,    3.648, 0.000,    2.137,    7.103
Cliente_SOPRANO INDUSTRIA ELETROMETALURGICA LTDA,    4.6985,    0.833,    5.640, 0.000,    3.065,    6.332
"Cliente_SOROSISTEM MATERIAIS COMPOSTOS S,A,",    4.0360,    0.693,    5.827, 0.000,    2.678,    5.394
Cliente_SOUTH SERVICE TRADING SA,    4.8070,    0.713,    6.739, 0.000,    3.409,    6.205
Cliente_SOYCOMEX COMERCIAL E EXPORTADORA LTDA,    5.6623,    1.083,    5.227, 0.000,    3.539,    7.786
Cliente_SPECIAL FRUIT IMPORTACAO E EXPORTACAO LTDA,    4.3641,    1.077,    4.053, 0.000,    2.253,    6.475
"Cliente_STARA S,A, - INDUSTRIA DE IMPLEMENTOS AGRICOLAS",    5.4657,    0.715,    7.642, 0.000,    4.064,    6.868
Cliente_STARRETT INDUSTRIA E COMERCIO LTDA,    3.8088,    0.882,    4.317, 0.000,    2.079,    5.539
Cliente_STEMAC SA GRUPOS GERADORES EM RECUPERACAO JUDICIAL,    5.4263,    0.696,    7.801, 0.000,    4.063,    6.790
"Cliente_STIHL FERRAMENTAS MOTORIZADAS LTDA,",    5.8480,    0.731,    7.998, 0.000,    4.415,    7.282
Cliente_STOLLER DO BRASIL LTDA,    2.3589,    1.052,    2.243, 0.025,    0.297,    4.421
Cliente_SUCOCITRICO CUTRALE LTDA,    6.1318,    1.063,    5.768, 0.000,    4.048,    8.216
Cliente_SUD-CHEMIE DO BRASIL LTDA,    2.5886,    1.072,    2.415, 0.016,    0.487,    4.690
Cliente_SUDES IMPORTACAO E EXPORTACAO LTDA,    4.8743,    0.888,    5.489, 0.000,    3.133,    6.615
"Cliente_SUGAR SHOES INDUSTRIA DE CALCADOS LTDA,",    3.9528,    1.147,    3.445, 0.001,    1.704,    6.202
Cliente_SUGAR SHOES LTDA,    4.2762,    0.770,    5.550, 0.000,    2.766,    5.787
Cliente_SUL AMERICANA DE CADERNOS IND E COM LTDA,    3.0377,    0.818,    3.712, 0.000,    1.433,    4.642
Cliente_SUL VALLE ALIMENTOS LTDA,    3.8856,    1.066,    3.646, 0.000,    1.797,    5.975
Cliente_SULAMERICANA INDUSTRIAL LTDA,    2.4890,    1.050,    2.370, 0.018,    0.431,    4.547
Cliente_SULMAQ INDUSTRIAL E COMERCIAL SA,    4.3929,    0.760,    5.778, 0.000,    2.902,    5.883
Cliente_SULZER BRASIL S A,    4.3209,    0.699,    6.178, 0.000,    2.950,    5.692
Cliente_SUN CHEMICAL DO BRASIL LTDA,    4.6037,    1.052,    4.377, 0.000,    2.542,    6.666
Cliente_SUSIN FRANCESCUTTI METALURGICA LTDA,    4.0678,    0.749,    5.428, 0.000,    2.599,    5.537
"Cliente_SUZANO S,A,",    5.6179,    0.759,    7.399, 0.000,    4.129,    7.106
"Cliente_SV COUROS IMPORTADORA E EXPORTADORA LTDA, - ME",    4.0110,    1.084,    3.700, 0.000,    1.886,    6.136
Cliente_TACOSOLA BORRACHAS LTDA,    4.0815,    1.057,    3.861, 0.000,    2.009,    6.154
Cliente_TANAC SA,    3.8374,    0.714,    5.378, 0.000,    2.439,    5.236
Cliente_TAPETES LOURDES LTDA,    2.3563,    0.748,    3.151, 0.002,    0.890,    3.822
"Cliente_TAURUS ARMAS S,A,",    4.9062,    0.888,    5.525, 0.000,    3.165,    6.647
Cliente_TAURUS MAQUINAS-FERRAMENTA LTDA,    4.6830,    1.064,    4.401, 0.000,    2.597,    6.769
Cliente_TBM - TEXTIL BEZERRA DE MENEZES S/A,    4.4729,    0.860,    5.200, 0.000,    2.787,    6.159
"Cliente_TDK ELECTRONICS DO BRASIL LTDA,",    5.4943,    0.712,    7.721, 0.000,    4.099,    6.889
Cliente_TEADIT INDUSTRIA E COMERCIO LTDA,    6.3913,    1.099,    5.814, 0.000,    4.236,    8.546
Cliente_TEAR TEXTIL INDUSTRIA E COMERCIO LTDA,    1.9527,    1.069,    1.827, 0.068,   -0.142,    4.048
Cliente_TECELAGEM SAO CARLOS SA,    3.6595,    0.818,    4.476, 0.000,    2.057,    5.262
"Cliente_TECHNICOLOR BRASIL MIDIA E ENTRETENIMENTO LTDA,",    5.3238,    1.174,    4.534, 0.000,    3.022,    7.626
"Cliente_TECIDOS FIAMA LTDA,",    2.5233,    0.881,    2.863, 0.004,    0.795,    4.251
Cliente_TECNICAS ELETRO MECANICAS TELEM S/A,    1.8985,    0.890,    2.133, 0.033,    0.154,    3.643
