
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,    3.9424,    1.051,    3.752, 0.000,    1.883,    6.002
Cliente_INDUSTRIA E COMERCIO DE AUTO PECAS REI LTDA,    3.3717,    0.785,    4.296, 0.000,    1.833,    4.910
"Cliente_INDUSTRIA E COMERCIO DE CALCADOD S, SANTOS LTDA",    2.2597,    1.084,    2.084, 0.037,    0.134,    4.385
Cliente_INDUSTRIA E COMERCIO DE CALCADOS ALA LTDA,    2.5436,    1.066,    2.387, 0.017,    0.454,    4.633
Cliente_INDUSTRIA E COMERCIO DE CALCADOS ARTEF DE COURO MARINER,    4.1151,    1.050,    3.919, 0.000,    2.057,    6.174
Cliente_INDUSTRIA E COMERCIO DE CALCADOS MARXANDER LTDA,    0.8669,    1.079,    0.803, 0.422,   -1.248,    2.982
"Cliente_INDUSTRIA E COMERCIO DE CALCADOS TANIA LTDA,",    3.4111,    0.832,    4.100, 0.000,    1.780,    5.042
Cliente_INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,    5.8349,    0.695,    8.394, 0.000,    4.472,    7.198
Cliente_INDUSTRIA E COMERCIO DE MOVEIS HENN LTDA,    3.1145,    1.060,    2.938, 0.003,    1.036,    5.193
Cliente_INDUSTRIA ELETROMECANICA BALESTRO LTDA,    3.5323,    0.783,    4.509, 0.000,    1.997,    5.068
Cliente_INDUSTRIA GRAFICA FORONI LTDA,    2.4316,    0.785,    3.099, 0.002,    0.894,    3.970
Cliente_INDUSTRIA MADEIREIRA ULIANA LTDA,    1.7601,    1.069,    1.647, 0.100,   -0.335,    3.856
Cliente_INDUSTRIA METALURGICA FRUM LTDA,    3.2335,    0.787,    4.107, 0.000,    1.690,    4.777
Cliente_INDUSTRIA TEXTIL APUCARANA LTDA,    2.9838,    0.831,    3.591, 0.000,    1.355,    4.613
Cliente_INDUSTRIA TEXTIL OESTE LTDA,    3.4519,    1.062,    3.252, 0.001,    1.371,    5.533
Cliente_INDUSTRIAL DE MOVEIS GROBE LTDA,    1.7194,    0.890,    1.932, 0.053,   -0.025,    3.464
Cliente_INDUSTRIAL LEVORIN S/A,    3.8408,    0.883,    4.349, 0.000,    2.110,    5.572
Cliente_INDUSTRIAS ARTEFAMA SA,    2.3946,    0.834,    2.871, 0.004,    0.759,    4.030
"Cliente_INDUSTRIAS COLOMBO S,A,",    3.1030,    1.052,    2.951, 0.003,    1.041,    5.165
Cliente_INDUSTRIAS GERAIS DE PARAFUSOS INGEPAL LTDA,    3.4101,    0.881,    3.870, 0.000,    1.683,    5.137
Cliente_INDUSTRIAS MACHINA ZACCARIA S A,    3.7447,    0.718,    5.214, 0.000,    2.337,    5.153
"Cliente_INDUSTRIAS REUNIDAS CMA LTDA,",    2.9618,    0.818,    3.619, 0.000,    1.357,    4.566
Cliente_INDUSTRIAS SINIMBU S/A,    3.0792,    0.936,    3.290, 0.001,    1.244,    4.914
Cliente_INDUSTRIAS TEXTEIS NAJAR S/A,    2.2628,    0.882,    2.567, 0.010,    0.534,    3.991
"Cliente_INGEVITY QUIMICA LTDA,",    3.3928,    0.844,    4.018, 0.000,    1.737,    5.048
Cliente_INMES INDUSTRIAL LTDA,    3.3630,    1.054,    3.190, 0.001,    1.296,    5.430
"Cliente_INPLAC INDUSTRIA DE PLASTICOS S,A - EM RECUPERACAO JUDI",    3.3152,    0.890,    3.725, 0.000,    1.571,    5.060
Cliente_INSTALADORA SAO MARCOS LTDA,    4.5492,    0.773,    5.882, 0.000,    3.033,    6.065
Cliente_INSTRAMED INDUSTRIA MEDICO HOSPITALAR LTDA,    3.9170,    1.058,    3.702, 0.000,    1.843,    5.991
"Cliente_INTECNIAL S,A, - EM RECUPERACAO JUDICIAL",    5.5099,    0.765,    7.204, 0.000,    4.011,    7.009
"Cliente_INTELBRAS S,A, INDUSTRIA DE TELECOMUNICACAO ELETRONICA",    4.8269,    1.060,    4.552, 0.000,    2.748,    6.906
Cliente_INTERCAST S/A,    2.8570,    0.788,    3.625, 0.000,    1.312,    4.402
Cliente_INTERCONTINENTAL ADMINISTRADORA LTDA,    2.9986,    0.890,    3.369, 0.001,    1.254,    4.743
Cliente_INTERDESIGN MOVEIS LTDA,    3.1386,    0.892,    3.520, 0.000,    1.390,    4.887
"Cliente_IOCHPE-MAXION S,A,",    5.4000,    0.684,    7.892, 0.000,    4.059,    6.741
Cliente_IPE AGRO AVICOLA LTDA,    3.5617,    1.062,    3.354, 0.001,    1.480,    5.643
Cliente_IPIRANGA PETROQUIMICA SA,    5.9807,    0.888,    6.734, 0.000,    4.240,    7.722
Cliente_IRACEMA INDUSTRIA E COMERCIO DE CASTANHAS DE CAJU LTDA,    5.8386,    1.144,    5.102, 0.000,    3.595,    8.082
