,Cliente,UF,Ano da Operação,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada,Contribuição do UF ao PIB Nacional (%)
4795,"INDORAMA VENTURES POLIMEROS S,A,",Pernambuco,2010,52009100,52009100.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.025011216344853517
4935,ACUMULADORES MOURA S A,Pernambuco,2010,10000000,10000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.025011216344853517
5005,"INDORAMA VENTURES POLIMEROS S,A,",Pernambuco,2010,10141800,10141800.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.025011216344853517
4985,"PROQUALIT TELECOM LTDA,",São Paulo,2010,509640,509640.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",MÉDIA,PRIVADA,"BANCO VOTORANTIM S,A,",0.3331824407909009
4986,PPE FIOS ESMALTADOS S/A,São Paulo,2010,2554200,2554200.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4991,UNIGRES CERAMICA LTDA,São Paulo,2010,1000000,1000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,"BANCO VOTORANTIM S,A,",0.3331824407909009
4992,DPF AUTO PECAS LIMITADA,São Paulo,2010,1500000,1500000.0,COMERCIO E SERVICOS,Comércio,MÉDIA,PRIVADA,"BANCO VOTORANTIM S,A,",0.3331824407909009
4181,FACCHINI S/A,São Paulo,2010,3088390,3088390.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4995,ROMA JENSEN COMERCIO E INDUSTRIA LTDA,São Paulo,2010,577000,577000.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos diversos,MÉDIA,PRIVADA,"BANCO VOTORANTIM S,A,",0.3331824407909009
4997,"FGF - FUNDICAO GLOBAL FOUNDRY DE ACO INOXIDAVEL LTDA,",São Paulo,2010,5124600,5124600.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,MÉDIA,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4998,FANEM LTDA,São Paulo,2010,7686900,7686900.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos diversos,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4091,"WENZELYS APICULTURA COM, IND, EXP, LTDA,",Piauí,2010,360000,360000.0,COMERCIO E SERVICOS,Comércio,MICRO,PRIVADA,CAIXA ECONOMICA FEDERAL,0.005730835259339855
4374,R C M INDUSTRIA COMERCIO EXP SUBPRODUTO ANIMAL LTDA,Rio Grande do Norte,2010,1000000,1000000.0,COMERCIO E SERVICOS,Transporte terrestre,PEQUENA,PRIVADA,"BANCO BRADESCO S,A,",0.009311869973264516
4999,MOGIANA ALIMENTOS LTDA,São Paulo,2010,4000000,4000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO ABC BRASIL S,A,",0.3331824407909009
4125,FIACAO DE SEDA BRATAC S A,São Paulo,2010,3000000,3000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,MÉDIA,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4126,"GDC ALIMENTOS S,A",São Paulo,2010,7428318,7428318.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4996,"FGF - FUNDICAO GLOBAL FOUNDRY DE ACO INOXIDAVEL LTDA,",São Paulo,2010,1000000,1000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,MÉDIA,PRIVADA,"BANCO FIBRA S,A,",0.3331824407909009
4182,UNIVEL AUTOMOTIVE LTDA,São Paulo,2010,1816700,1816700.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4183,DORI ALIMENTOS LTDA,São Paulo,2010,4360080,4360080.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.3331824407909009
4185,NADIR FIGUEIREDO IND COM S A,São Paulo,2010,20000000,20000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3331824407909009
4264,HAVER & BOECKER LATINOAMERICANA MAQUINAS LIMITADA,São Paulo,2010,5141360,5141360.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4265,EUCATEX S A INDUSTRIA E COMERCIO,São Paulo,2010,11017200,11017200.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3331824407909009
4266,EUCATEX S A INDUSTRIA E COMERCIO,São Paulo,2010,5000000,5000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,GRANDE,PRIVADA,"BANCO ABC BRASIL S,A,",0.3331824407909009
4270,"EMBRAER S,A,",São Paulo,2010,50000000,50000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Outros equip transporte,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4271,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA,São Paulo,2010,100000000,100000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4272,"PERTECH DO BRASIL LTDA,",São Paulo,2010,5508600,5508600.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4274,"MAHLE METAL LEVE S,A,",São Paulo,2010,100000000,100000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3331824407909009
