
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_TUPER S/A,    5.8217,    0.713,    8.168, 0.000,    4.424,    7.219
Cliente_TUPY S/A,    8.7833,    0.613,   14.333, 0.000,    7.582,    9.985
Cliente_UNIAO QUIMICA FARMACEUTICA NACIONAL S A,    5.0187,    1.012,    4.958, 0.000,    3.034,    7.003
Cliente_UNICASA INDUSTRIA DE MOVEIS S/A,    7.6328,    1.013,    7.535, 0.000,    5.647,    9.619
"Cliente_UNIFY - SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,",    8.0892,    0.723,   11.187, 0.000,    6.672,    9.507
Cliente_UNIGEL PLASTICOS S/A,    6.4463,    0.861,    7.491, 0.000,    4.759,    8.133
Cliente_UNIGRES CERAMICA LTDA,    6.0011,    0.762,    7.879, 0.000,    4.508,    7.494
"Cliente_UNIKLIMA ELETRO INDUSTRIAL LTDA,",    6.4118,    1.012,    6.335, 0.000,    4.428,    8.396
Cliente_UNION PACK INDUSTRIA DE EMBALAGENS LTDA,    6.3606,    1.013,    6.280, 0.000,    4.375,    8.346
Cliente_UNIVEL AUTOMOTIVE LTDA,    5.8627,    0.723,    8.104, 0.000,    4.444,    7.281
Cliente_UNIVERSUM DO BRASIL INDUSTRIA MOVELEIRA LTDA,    5.3217,    1.034,    5.146, 0.000,    3.294,    7.349
Cliente_UPA UMBUZEIRO PRODUCOES AGRICOLAS LTDA,    6.7015,    0.760,    8.820, 0.000,    5.212,    8.191
Cliente_URSUS MAQUINAS AGRICOLAS LTDA,    5.4558,    1.034,    5.276, 0.000,    3.429,    7.483
Cliente_USAFLEX - INDUSTRIA & COMERCIO S/A,    7.6144,    0.832,    9.148, 0.000,    5.983,    9.246
Cliente_USIBRAS USINA BRASILEIRA DE OLEOS E CAST,    7.1621,    1.231,    5.820, 0.000,    4.750,    9.574
"Cliente_USIMECA - INDUSTRIA MECANICA S,A,",    7.0652,    1.061,    6.661, 0.000,    4.986,    9.145
Cliente_USINA ACUCAREIRA ESTER S A,    5.7059,    0.724,    7.876, 0.000,    4.286,    7.126
Cliente_USINA CAETE S A,    5.4018,    0.389,   13.894, 0.000,    4.640,    6.164
"Cliente_USINA DA BARRA S,A, - ACUCAR E ALCOOL",    7.0284,    1.012,    6.943, 0.000,    5.044,    9.013
Cliente_USINA MOEMA ACUCAR E ALCOOL LTDA,    7.5404,    0.832,    9.068, 0.000,    5.910,    9.171
"Cliente_USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",    7.0232,    0.643,   10.928, 0.000,    5.763,    8.283
Cliente_UTZ MAQUINAS LTDA,    4.7240,    1.034,    4.568, 0.000,    2.697,    6.751
Cliente_VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS S/A,    5.2485,    0.682,    7.697, 0.000,    3.912,    6.585
Cliente_VALENCA DA BAHIA MARICULTURA S/A,    5.9734,    0.735,    8.125, 0.000,    4.532,    7.415
"Cliente_VALEO SISTEMAS AUTOMOTIVOS LTDA,",    9.1699,    0.762,   12.037, 0.000,    7.676,   10.663
Cliente_VALGROUP BA INDUSTRIA DE EMBALAGENS FLEXIVEIS LTDA,    6.5669,    0.832,    7.897, 0.000,    4.937,    8.197
Cliente_VALGROUP MG INDUSTRIA DE EMBALAGENS FLEXIVEIS LTDA,    6.3978,    0.787,    8.134, 0.000,    4.856,    7.940
Cliente_VALISERE INDUSTRIA E COMERCIO LTDA,    7.0836,    0.832,    8.519, 0.000,    5.453,    8.714
Cliente_VALLOUREC TUBOS DO BRASIL LTDA,    6.7748,    0.750,    9.028, 0.000,    5.304,    8.246
Cliente_VAMOL INDUSTRIA MOVELEIRA LTDA,    5.3458,    0.754,    7.093, 0.000,    3.868,    6.823
"Cliente_VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA,",    5.3495,    0.720,    7.433, 0.000,    3.939,    6.760
Cliente_VDL SIDERURGIA LTDA,    5.5366,    0.854,    6.481, 0.000,    3.862,    7.211
Cliente_VENAX ELETRODOMESTICOS LTDA,    6.6064,    0.686,    9.631, 0.000,    5.262,    7.951
"Cliente_VENTUROSO, VALENTINI & CIA LTDA",    6.3127,    0.761,    8.296, 0.000,    4.821,    7.804
Cliente_VERDES MAQUINAS E INSTALACOES LTDA,    6.5372,    0.831,    7.863, 0.000,    4.907,    8.167
Cliente_VETORE INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,    5.6358,    0.811,    6.950, 0.000,    4.046,    7.226
Cliente_VETTOR TORRES DE RESFRIAMENTO LTDA,    5.8283,    0.831,    7.010, 0.000,    4.198,    7.458
"Cliente_VIA FIT CALAADOS LTDA,",    5.4822,    1.013,    5.412, 0.000,    3.496,    7.468
Cliente_VIA NECTARE TECNOLOGIA EM BEBIDAS E ALIMENTOS LTDA,    6.5819,    1.012,    6.502, 0.000,    4.597,    8.566
Cliente_VIBRA  AGROINDUSTRIAL  S/A,    8.9857,    1.013,    8.870, 0.000,    7.000,   10.972
Cliente_VIBTECH INDUSTRIAL LTDA,    4.5503,    1.012,    4.495, 0.000,    2.566,    6.535
Cliente_VICON MAQUINAS AGRICOLAS LTDA,    5.3826,    1.012,    5.317, 0.000,    3.398,    7.367
"Cliente_VICUNHA TEXTIL S/A,",    8.0616,    0.777,   10.382, 0.000,    6.539,    9.584
"Cliente_VIDROFORTE INDUSTRIA E COMERCIO DE VIDROS LTDA,",    7.0512,    1.013,    6.961, 0.000,    5.065,    9.037
Cliente_VIENA SIDERURGICA S/A,    5.0317,    0.854,    5.890, 0.000,    3.357,    6.706
Cliente_VILLARES METALS SA,    8.4503,    0.632,   13.364, 0.000,    7.211,    9.690
Cliente_VILTEX INDUSTRIA TEXTIL LTDA,    5.5081,    1.020,    5.398, 0.000,    3.508,    7.508
Cliente_VINICOLA MIOLO LTDA,    6.1632,    1.013,    6.084, 0.000,    4.177,    8.149
"Cliente_VINIGAS IND, E COM, DE COMPONENTES PARA GAS LTDA",    3.8724,    0.856,    4.522, 0.000,    2.194,    5.551
"Cliente_VIPOSA S,A",    6.7437,    0.697,    9.675, 0.000,    5.377,    8.110
Cliente_VISTEON SISTEMAS AUTOMOTIVOS LTDA,    8.2624,    0.762,   10.846, 0.000,    6.769,    9.756
Cliente_VITAPELLI LTDA,    7.6205,    0.832,    9.164, 0.000,    5.990,    9.251
Cliente_VIVERE MOVEIS LTDA,    6.4747,    0.852,    7.596, 0.000,    4.804,    8.146
Cliente_VOITH HYDRO LTDA,    5.8310,    0.627,    9.298, 0.000,    4.602,    7.060
Cliente_VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES,    9.2567,    0.618,   14.977, 0.000,    8.045,   10.468
Cliente_VOLKSWAGEN TRUCK & BUS INDUSTRIA E COMERCIO DE VEICULOS,    9.2778,    0.618,   15.012, 0.000,    8.066,   10.489
Cliente_VOLVO DO BRASIL VEICULOS LTDA,    9.0906,    0.689,   13.192, 0.000,    7.740,   10.441
Cliente_VR LUX INDUSTRIAL LTDA,    5.2301,    1.012,    5.167, 0.000,    3.246,    7.214
"Cliente_VULCABRAS AZALEIA - CE, CALCADOS E ARTIGOS ESPORTIVOS S",    9.0875,    0.772,   11.764, 0.000,    7.573,   10.602
"Cliente_VULCABRAS AZALEIA-BA,CALCADOS E ARTIGOS ESPORTIVOS S/A",    7.6274,    0.709,   10.760, 0.000,    6.238,    9.017
"Cliente_VULCABRAS AZALEIA-RS,CALCADOS E ARTIGOS ESPORTIVOS S/A",    8.3299,    0.702,   11.865, 0.000,    6.954,    9.706
"Cliente_VULCABRAS AZALEIA-SE,CALCADOS E ARTIGOS ESPORTIVOS LTDA",    5.7602,    0.522,   11.042, 0.000,    4.737,    6.783
Cliente_WAP DO BRASIL LTDA,    3.5523,    0.877,    4.051, 0.000,    1.833,    5.271
Cliente_WEG EQUIPAMENTOS ELETRICOS S/A,    8.9573,    0.615,   14.554, 0.000,    7.751,   10.164
Cliente_WEG EXPORTADORA S/A,    8.3857,    0.626,   13.390, 0.000,    7.158,    9.613
"Cliente_WENZELYS APICULTURA COM, IND, EXP, LTDA,",    1.5514,    0.712,    2.179, 0.029,    0.155,    2.947
Cliente_WETZEL S/A,    5.5156,    0.713,    7.738, 0.000,    4.118,    6.913
"Cliente_WHB COMPONENTES AUTOMOTIVOS S,A,",    6.6691,    1.050,    6.353, 0.000,    4.611,    8.727
Cliente_WHB FUNDICAO S/A,    7.6009,    0.693,   10.970, 0.000,    6.243,    8.959
Cliente_WHEATON BRASIL VIDROS LTDA,    6.1536,    0.832,    7.400, 0.000,    4.523,    7.784
Cliente_WHEATON DO BRASIL INDUSTRIA E COMERCIO LTDA,    6.1652,    1.012,    6.090, 0.000,    4.181,    8.150
Cliente_WHITE MARTINS GASES INDUSTRIAIS LTDA,    8.2693,    0.790,   10.462, 0.000,    6.720,    9.819
Cliente_WOBBEN WINDPOWER INDUSTRIA E COMERCIO LTDA,   10.0717,    1.012,    9.949, 0.000,    8.087,   12.056
Cliente_WOLKAN IMPORTACAO E EXPORTACAO DE MAQUINAS LTDA,    6.5170,    1.013,    6.434, 0.000,    4.531,    8.503
Cliente_WYNY DO BRASIL IND E COM DE COUROS LTDA,    5.2515,    0.877,    5.989, 0.000,    3.533,    6.971
Cliente_XALINGO SA INDUSTRIA E COMERCIO,    7.4520,    0.832,    8.953, 0.000,    5.820,    9.084
Cliente_XINGULEDER COUROS LTDA,    6.1569,    0.656,    9.392, 0.000,    4.872,    7.442
"Cliente_YABORA INDUSTRIA AERONAUTICA S,A,",   12.8734,    1.012,   12.717, 0.000,   10.889,   14.858
Cliente_YOKI ALIMENTOS S/A,    4.9266,    0.877,    5.618, 0.000,    3.208,    6.646
"Cliente_ZD ALIMENTOS S,A",    5.9472,    0.762,    7.807, 0.000,    4.454,    7.441
Cliente_ZEGLA - INDUSTRIA DE MAQUINAS PARA BEBIDAS LTDA,    6.6659,    0.702,    9.494, 0.000,    5.290,    8.042
Cliente_ZEKTOR TECHNOLOGIES INDUSTRIA E COMERCIO LTDA,    4.5810,    1.012,    4.526, 0.000,    2.597,    6.565
Cliente_ZEMA ZSELICS LTDA,    6.1845,    0.831,    7.439, 0.000,    4.555,    7.814
"Cliente_ZEN S,A, INDUSTRIA METALURGICA",    7.3482,    0.628,   11.693, 0.000,    6.116,    8.580
Cliente_ZEPPINI INDUSTRIAL E COMERCIAL LTDA,    6.7433,    1.012,    6.661, 0.000,    4.759,    8.728
"Cliente_ZF AUTOMOTIVE BRASIL LTDA,",    8.9053,    0.724,   12.293, 0.000,    7.485,   10.326
"Cliente_ZF DO BRASIL LTDA,",    7.5087,    0.613,   12.257, 0.000,    6.308,    8.710
Cliente_ZIVALPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,    5.5705,    1.050,    5.306, 0.000,    3.512,    7.629
Cliente_ZM SA,    7.1309,    0.772,    9.239, 0.000,    5.618,    8.644
Cliente_ZOLLERN TRANSMISSOES MECANICAS LTDA,    5.1120,    0.786,    6.506, 0.000,    3.572,    6.652
Cliente_ZURLO IMPLEMENTOS RODOVIARIOS LTDA,    7.3610,    1.013,    7.267, 0.000,    5.375,    9.347
UF_AL,    9.8035,    0.321,   30.566, 0.000,    9.175,   10.432
UF_AM,    7.6567,    0.800,    9.565, 0.000,    6.087,    9.226
UF_BA,    8.1459,    0.639,   12.754, 0.000,    6.894,    9.398
UF_CE,    7.3247,    0.758,    9.663, 0.000,    5.839,    8.811
UF_ES,    6.9608,    0.850,    8.188, 0.000,    5.294,    8.627
UF_GO,    7.5177,    0.737,   10.203, 0.000,    6.073,    8.962
UF_IE,    8.8585,    1.123,    7.891, 0.000,    6.658,   11.059
UF_MG,    8.7181,    0.630,   13.836, 0.000,    7.483,    9.953
UF_MS,    7.5447,    0.927,    8.140, 0.000,    5.728,    9.362
UF_MT,    8.9210,    0.682,   13.079, 0.000,    7.584,   10.258
UF_PA,    9.6342,    0.997,    9.660, 0.000,    7.679,   11.589
UF_PB,    8.4607,    0.774,   10.932, 0.000,    6.943,    9.978
UF_PE,    8.4936,    0.804,   10.563, 0.000,    6.917,   10.070
UF_PI,   11.1408,    0.274,   40.594, 0.000,   10.603,   11.679
UF_PR,    8.5015,    0.660,   12.889, 0.000,    7.208,    9.794
UF_RJ,    7.2167,    0.678,   10.650, 0.000,    5.888,    8.545
UF_RN,    8.3690,    0.916,    9.132, 0.000,    6.572,   10.166
UF_RO,    7.3265,    0.720,   10.181, 0.000,    5.916,    8.737
UF_RS,    7.1324,    0.600,   11.891, 0.000,    5.957,    8.308
UF_SC,    8.0056,    0.613,   13.060, 0.000,    6.804,    9.207
UF_SE,   10.8730,    0.341,   31.860, 0.000,   10.204,   11.542
UF_SP,    7.9123,    0.599,   13.203, 0.000,    6.737,    9.087
UF_TO,    7.9949,    1.013,    7.892, 0.000,    6.009,    9.981
Setor CNAE_COMERCIO E SERVICOS,    0.3021,    0.157,    1.928, 0.054,   -0.005,    0.609
Setor CNAE_INDUSTRIA DE TRANSFORMAÇÃO,    0.4367,    0.148,    2.950, 0.003,    0.146,    0.727
Setor CNAE_INDUSTRIA EXTRATIVA,    0.0191,    0.616,    0.031, 0.975,   -1.188,    1.226
Porte do cliente_MICRO,   -0.2004,    0.260,   -0.770, 0.441,   -0.711,    0.310
Porte do cliente_MÉDIA,   -0.2706,    0.072,   -3.740, 0.000,   -0.412,   -0.129
Porte do cliente_PEQUENA,   -0.3210,    0.215,   -1.490, 0.136,   -0.743,    0.101


Table 3: t
Omnibus:,473.943,  Durbin-Watson:     ,   1.799
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,2319.561
Skew:, 0.048,  Prob(JB):          ,    0.00
Kurtosis:, 5.802,  Cond. No.          ,4.20e+17

