
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_NEXANS BRASIL S/A,    7.6880,    0.685,   11.223, 0.000,    6.345,    9.031
"Cliente_NG METALURGICA S,A,",    7.6834,    1.012,    7.590, 0.000,    5.699,    9.668
Cliente_NILCATEX TEXTIL LTDA,    6.3544,    1.020,    6.227, 0.000,    4.354,    8.355
Cliente_NIPRO MEDICAL LTDA,    6.5652,    1.012,    6.485, 0.000,    4.581,    8.550
Cliente_NIROFLEX IMPORTACAO E EXPORTACAO LTDA,    5.9484,    0.776,    7.666, 0.000,    4.427,    7.470
Cliente_NOKIA DO BRASIL TECNOLOGIA LTDA,   10.3719,    0.879,   11.796, 0.000,    8.648,   12.096
Cliente_NOMA DO BRASIL SOCIEDADE ANONIMA,    5.6114,    0.739,    7.589, 0.000,    4.162,    7.061
Cliente_NORTE PESCA SA,    6.1112,    1.227,    4.980, 0.000,    3.706,    8.517
Cliente_NOVA AURORA MARMORES E GRANITOS LTDA,    6.6827,    1.178,    5.672, 0.000,    4.373,    8.992
Cliente_NOVARTIS BIOCIENCIAS S/A,    8.7970,    1.012,    8.690, 0.000,    6.813,   10.781
Cliente_NOVO PISO S/A ENGENHARIA DE REVESTIMENTOS,    5.6303,    0.724,    7.774, 0.000,    4.210,    7.050
Cliente_NOVUS - PRODUTOS ELETRONICOS LTDA,    7.0942,    0.832,    8.523, 0.000,    5.463,    8.726
Cliente_OBER SA INDUSTRIA E COMERCIO,    7.5042,    0.724,   10.358, 0.000,    6.084,    8.924
Cliente_OBERTHUR TECHNOLOGIES - SISTEMA DE CARTOES LTDA,    8.8339,    1.012,    8.727, 0.000,    6.849,   10.818
Cliente_OCEANO IND E COM DE MADEIRAS LTDA,    1.9616,    1.314,    1.493, 0.135,   -0.613,    4.537
Cliente_ODEBRECHT COMERCIO E INDUSTRIA DE CAFE LTDA,    5.5398,    0.912,    6.077, 0.000,    3.753,    7.327
Cliente_OEM COMERCIO EXTERIOR LTDA,    5.0937,    0.870,    5.854, 0.000,    3.388,    6.799
"Cliente_OLEOPLAN S,A, OLEOS VEGETAIS PLANALTO",    6.7977,    0.763,    8.912, 0.000,    5.302,    8.293
Cliente_OLIDEF CZ IND E COM DE APARELHOS HOSPITALARES LTDA,    5.6412,    0.672,    8.389, 0.000,    4.323,    6.959
